IMPORTADOR,PROVEEDOR,DESPACHO,CONOCIMIENTO,FECHA,ITEM,POSICION ARANCELARIA,RUBRO,DESCRIPCION DE LA POSICION,MERCADERIA,DESTINACION,REGIMEN,ADUANA,MEDIO,PAIS ORIGEN,PAIS PROCEDENCIA,VALOR FOB U$S,VALOR FLETE U$S,VALOR SEGURO U$S,VALOR CIF U$S,CANTIDAD,UNIDAD MEDIDA,PRECIO UNITARIO,KGS BRUTO,KGS NETO,SUBITEM,DESCRIPCION SUBITEM,MARCA SUBITEM,CANTIDAD SUBITEM,PRECIO UNITARIO SUBITEM,FOB SUBITEM,DESPACHANTE,ESTADO,FACTURA,VALOR FACTURA,COTIZACION,CANAL,USO,IMPONIBLE U$S,IMPONIBLE GS,AJUSTE A INCLUIR,AJUSTE A DEDUCIR,ACUERDO,DERECHO,ISC,RENTA,IVA,TOTAL
EDUARDO ELIZECHE BENITEZ S.A.C.,SIEMENS HEALTHCARE GMBH,22DA000000201993,JCCA70221,2022-08-05,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA, EN: 1 UNIDAD DE EQUIPO DE RESONANCIA MAGNETICA MAGNETOM SEMPRA NX",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,ALEMANIA,ALEMANIA,"428009,19","127390,06","1320,00","556719,25","1,00",UNIDAD,"428009,19","8716,00","6470,00",,,,,,,ROIG BUSTO CARLOS ATILIO,CANC,584K0136309355 (DOLAR ESTADOUNIDENSE),"428009,19","6862,59",N,NUEVO,"556719,25","3820535889,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","34476525,00"
RESCORP SOCIEDAD ANONIMA,"GE HEALTHCARE GLOBAL PARTS COMPANY, INC",22DA000000230476,5994498635,2022-08-10,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"--APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA, EN: 02) UNIDADES LIGHT PANEL WHITE 726 MM LENGTH ART. 5572664",IM04,IMPORTACION MENOR A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,ESTADOS UNIDOS DE AMERICA,SINGAPUR,"474,36","100,00","4,74","579,10","2,00",UNIDAD,"237,18","2,52","2,52",,,,,,,MARECO DE ROS MARTA LILIANA DE,CANC,902540999 (DOLAR ESTADOUNIDENSE),"474,36","6868,98",N,NUEVO,"579,10","3977826,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","410075,00","446367,00"
RESCORP SOCIEDAD ANONIMA,GE PRECISION HEALTHCARE LLC,22DA000000732603,4150373816,2022-11-07,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"--APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA, EN: 01)UNIDAD RESONADOR MAGNECTICO GE  MODELO SIGNA EXPLORER 1.5T COMPLETO, CON ACCESORIOS, SIN MAGNETO ITEM: 57529MU",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,"367204,12","31338,94","4025,69","402568,75","1,00",UNIDAD,"367204,13","4386,00","4386,00",,,,,,,MARECO DE ROS MARTA LILIANA DE,CANC,918289243 (DOLAR ESTADOUNIDENSE),"402568,78","7249,64",V,NUEVO,"402568,78","2918478658,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","293330376,00","319671208,00"
EDUARDO ELIZECHE BENITEZ S.A.C.,SIEMENS HEALTHCARE GMBH,22DA000000781704,47572873,2022-12-27,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA, EN: 1 UNID. DE EQUIPO DE RESONANCIA MAGNETICA MAGNETOM ALTEA",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,ALEMANIA,ALEMANIA,"851613,25","116387,55","5324,00","973324,80","1,00",UNIDAD,"851613,25","10528,33","8150,00",,,,,,,ROIG BUSTO CARLOS ATILIO,CANC,584K0136765121 (DOLAR ESTADOUNIDENSE),"973324,81","7320,69",N,NUEVO,"973324,81","7125409057,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","64287502,00"
RESCORP SOCIEDAD ANONIMA,GE MEDICAL SYSTEMS,23DA000000017057,6925060063,2023-01-12,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"--APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA, EN: 01)UNIDAD DRIVER MODULE LITE3 FOR BAMBOO ART. 5138526-3-R",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,FRANCIA,"3242,81","100,00","32,43","3375,24","1,00",UNIDAD,"3242,81","20,50","20,50",,,,,,,MARECO DE ROS MARTA LILIANA DE,CANC,925087715 (DOLAR ESTADOUNIDENSE),"3242,81","7393,76",V,NUEVO,"3375,24","24955715,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","2530231,00","2756219,00"
RESCORP SOCIEDAD ANONIMA,GE PRECISION HEALTHCARE LLC,23DA000000192319,4150379058,2023-03-27,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,APARATOS DE DIAGNÂ¿STICO DE VISUALIZACIÂ¿N POR RESONANCIA MAGNETICA. CONTENIENDO 1 UNIDAD DE RESONADOR MAGNETICO,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,"1205586,00","62604,00","12810,00","1281000,00","1,00",UNIDAD,"1205586,00","14192,00","12180,00",,,,,,,PAREDES TORRES MARIA LOURDES,CANC,5210645 (DOLAR ESTADOUNIDENSE),"1281000,00","7162,11",V,NUEVO,"1281000,00","9174662910,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","922091073,00","1004872531,00"
RESCORP SOCIEDAD ANONIMA,GE MEDICAL SYSTEMS,23DA000000202268,9927185892,2023-03-30,4,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,PLOTTING FIXTURE USED TO PASSIVELY SHIM DV MAGNETS GE PART 5266042-4,IT04,IMPORTACION TEMPORARIA S/TRANSFORMACION C/DOC.TRANSPORT,AEROP. PETTIROSSI,AVION,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,"2150,00","269,39","21,50","2440,89","1,00",UNIDAD,"2150,00","100,00","100,00",,,,,,,MARECO DE ROS MARTA LILIANA DE,CANC,PR3210110212333 (DOLAR ESTADOUNIDENSE),"12650,00","6878,62",R,NUEVO,"2440,89","16789955,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","85178,00"
EDUARDO ELIZECHE BENITEZ S.A.C.,SIEMENS AG HEALTCARE SECTOR,23DA000000209669,00354120,2023-03-24,3,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"DISPOSITIVO DE AJUSTE MATRIZ 039/005, MARCA SIEMENS, ORIGEN ALEMANIA, PROCEDENCIA ALEMANIA",IT04,IMPORTACION TEMPORARIA S/TRANSFORMACION C/DOC.TRANSPORT,AEROP. PETTIROSSI,AVION,ALEMANIA,ALEMANIA,"19442,50","1340,31","124,69","20907,50","1,00",UNIDAD,"19442,50","67,00","60,00",,,,,,,ROIG ROBLEDO ATILIO CESAR,CANC,75010097041201 (DOLAR ESTADOUNIDENSE),"71194,10","4010,00",N,NUEVO,"20907,50","83839075,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","504708,00"
EDUARDO ELIZECHE BENITEZ S.A.C.,SIEMENS AG.,23DA000000212142,00176080,2023-03-24,1,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"DISPOSITIVO SHIM ARRAY HERRAMIENTAS PARA APARATO MEDICO, MARCA SIEMENS",IT04,IMPORTACION TEMPORARIA S/TRANSFORMACION C/DOC.TRANSPORT,AEROP. PETTIROSSI,AVION,CHINA,ALEMANIA,"8148,48","307,64","50,74","8506,86","1,00",UNIDAD,"8148,48","52,03","52,03",,,,,,,SERRATI CACERES SERGIO,CANC,75010094496814 -,"0,00","4900,00",R,NUEVO,"8506,86","41683614,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","714789,00"
EDUARDO ELIZECHE BENITEZ S.A.C.,SIEMENS AG.,23DA000000212142,00176080,2023-03-24,2,9018.13.00.000X,BIENES DE CAPITAL,--APARATOS DE DIAGNOSTICO DE VISUALIZACION POR RESONANCIA MAGNETICA,"MPSU 3600 COMPLETO, HERRAMIENTA PARA APARATO MEDICO MARCA SIEMENS",IT04,IMPORTACION TEMPORARIA S/TRANSFORMACION C/DOC.TRANSPORT,AEROP. PETTIROSSI,AVION,REINO UNIDO,ALEMANIA,"25680,00","969,54","159,89","26809,43","1,00",UNIDAD,"25680,00","163,97","163,97",,,,,,,SERRATI CACERES SERGIO,CANC,75010094496814 -,"0,00","4900,00",R,NUEVO,"26809,43","131366207,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","0,00","2252662,00"
