IMPORTADOR,PROVEEDOR,DESPACHO,CONOCIMIENTO,FECHA,ITEM,POSICION ARANCELARIA,RUBRO,DESCRIPCION DE LA POSICION,MERCADERIA,DESTINACION,REGIMEN,ADUANA,MEDIO,PAIS ORIGEN,PAIS PROCEDENCIA,VALOR FOB U$S,VALOR FLETE U$S,VALOR SEGURO U$S,VALOR CIF U$S,CANTIDAD,UNIDAD MEDIDA,PRECIO UNITARIO,KGS BRUTO,KGS NETO,SUBITEM,DESCRIPCION SUBITEM,MARCA SUBITEM,CANTIDAD SUBITEM,PRECIO UNITARIO SUBITEM,FOB SUBITEM,DESPACHANTE,ESTADO,FACTURA,VALOR FACTURA,COTIZACION,CANAL,USO,IMPONIBLE U$S,IMPONIBLE GS,AJUSTE A INCLUIR,AJUSTE A DEDUCIR,ACUERDO,DERECHO,ISC,RENTA,IVA,TOTAL,VALOR FINAL,VALOR FINAL POR CANTIDAD
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000000993,4396902977,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,ECOGRAFO VIVID T9 V203,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,"22291,39","3194,69","31,05","25517,13","1,00",UNIDAD,"22291,39","98,50","81,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873618180 (DOLAR ESTADOUNIDENSE),"38014,00","6952,73",N,NUEVO,"25517,13","177413715,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","17859329,00","19479907,00","28318,89","28318,89377"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000000993,4396902977,2022-01-05,2,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,TRANSDUCTOR 3SC-RS,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,"2930,10","419,93","4,08","3354,11","1,00",UNIDAD,"2930,10","2,50","2,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873618180 (DOLAR ESTADOUNIDENSE),"38014,00","6952,73",N,NUEVO,"3354,11","23320221,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","2347527,00","2560544,00","3722,39","3722,388935"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000000993,4396902977,2022-01-05,3,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,TRANSDUCTOR 6S-RS,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,ESTADOS UNIDOS DE AMERICA,CHINA,"4239,66","607,61","5,90","4853,17","1,00",UNIDAD,"4239,66","2,50","2,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873618180 (DOLAR ESTADOUNIDENSE),"38014,00","6952,73",N,NUEVO,"4853,17","33742781,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","3396713,00","3704936,00","5386,05","5386,045"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000000993,4396902977,2022-01-05,4,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,TRANSDUCTOR 12S-RS,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,ESTADOS UNIDOS DE AMERICA,CHINA,"4354,00","623,99","6,06","4984,05","1,00",UNIDAD,"4354,00","2,50","2,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873618180 (DOLAR ESTADOUNIDENSE),"38014,00","6952,73",N,NUEVO,"4984,05","34652754,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","3488315,00","3804850,00","5531,30","5531,29547"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000000993,4396902977,2022-01-05,5,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,TRANSDUCTOR L6S-12RS,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,"1736,85","248,92","2,42","1988,19","1,00",UNIDAD,"1736,85","2,50","2,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873618180 (DOLAR ESTADOUNIDENSE),"38014,00","6952,73",N,NUEVO,"1988,19","13823348,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","1391526,00","1517795,00","2206,49","2206,492019"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,"29151,00","12479,47","48,27","41678,74","13,00",UNIDAD,"2242,38","262,50","240,00",1,ECOGRAFO VERSANA ACTIVE CON 4D,GE,"3,00","4000,04","12000,12",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),"42745,00","6952,73",V,NUEVO,"41678,74","289781026,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","29168472,00","31813868,00","46254,48","3558,036738"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,,,,,"13,00",UNIDAD,,,,2,TRANSDUCTOR 4C-RS,GE,"3,00","1530,20","4590,60",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,,,,,"13,00",UNIDAD,,,,3,TRANSDUCTOR E8CS-RS,GE,"2,00","1580,00","3160,00",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,,,,,"13,00",UNIDAD,,,,4,TRANSDUCTOR L6-12-RS,GE,"3,00","1536,85","4610,55",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,,,,,"13,00",UNIDAD,,,,5,TRANSDUCTOR 3SC-RS,GE,"1,00","2562,17","2562,17",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
